x,posterior_mode,T_obs,T_true,saturated
-3.5,472.71391232179116,473.01396273000023,473.1504983273107,False
-3.3703703703703702,490.36597406945396,494.074186885098,473.151321039,False
-3.240740740740741,497.93999711403967,487.98515236915347,473.1533839433838,False
-3.111111111111111,492.6368754553818,487.6375068400986,473.15837600709875,False
-2.9814814814814814,478.4274734941225,505.5455579968519,473.17003353017043,False
-2.851851851851852,463.99989915024634,449.085137513846,473.19630036677256,False
-2.7222222222222223,457.6113495287442,460.71428994486376,473.25339936639125,False
-2.5925925925925926,461.55394760998075,446.9598656946775,473.37312992678,False
-2.462962962962963,471.12645297262736,471.4602190020794,473.61526916104,False
-2.3333333333333335,478.325138386104,494.06274274531904,474.0874696389786,False
-2.2037037037037037,478.14570071137695,474.53626830856615,474.97522603397374,False
-2.0740740740740744,472.54318805697085,486.5014614263687,476.58386009708425,False
-1.9444444444444446,468.81449610667346,441.1770762316196,479.3924495151525,False
-1.8148148148148149,474.3086017323644,487.0569232086971,484.11563989113057,False
-1.6851851851851853,490.9589818572071,473.624265369679,491.7631303948649,False
-1.5555555555555556,515.0041194903401,539.1867020079353,503.67891426301253,False
-1.425925925925926,540.8095516839647,539.2718759679219,521.534894438746,False
-1.2962962962962963,566.6154007150112,566.2363972379555,547.2494075727949,False
-1.166666666666667,596.4776235105443,581.6473285381102,582.8044277881296,False
-1.0370370370370372,637.5140902924418,642.2065418122396,629.9492963266378,False
-0.9074074074074074,693.9662891539389,702.9627178364856,689.8049145953955,False
-0.7777777777777781,762.8166662447011,755.529338571617,762.4173919000283,False
-0.6481481481481484,833.8291593939807,836.3985024297283,846.3459431396454,False
-0.5185185185185186,893.9794375601616,840.05531621472,938.3940712226083,True
-0.3888888888888893,933.6919598121249,840.05531621472,1033.5927818686655,True
-0.2592592592592595,951.044746642965,840.05531621472,1125.5113338115889,True
-0.12962962962962976,952.0508358840897,840.05531621472,1206.9059621790939,True
0.0,947.2077498347923,840.05531621472,1270.6332563612416,True
0.12962962962962932,946.3502061476266,840.05531621472,1310.6754313354068,True
0.2592592592592591,954.3034657777938,840.05531621472,1323.07564223246,True
0.38888888888888884,969.1305609554776,840.05531621472,1306.5823624256534,True
0.5185185185185182,983.4339938432911,840.05531621472,1262.857545485646,True
0.6481481481481479,987.8279381518915,840.05531621472,1196.2006390003608,True
0.7777777777777777,974.8561375528493,840.05531621472,1112.8518992927827,True
0.9074074074074074,941.6278825969423,840.05531621472,1020.031289774398,True
1.0370370370370372,890.279272769109,840.05531621472,924.9175051647497,True
1.166666666666666,826.582639342312,837.5938059005558,833.7646892897947,False
1.2962962962962958,757.8010277536102,740.6240477720603,751.299533690559,False
1.4259259259259256,691.0787176454554,682.3348881065413,680.4597645204719,False
1.5555555555555554,632.2658379131894,658.8465429864855,622.4527062239036,False
1.6851851851851851,585.1679504445515,585.2315615797812,577.0515676907094,False
1.8148148148148149,550.9282136618481,531.5449567738355,543.0187575169498,False
1.9444444444444438,527.5463070739186,537.611625994506,518.5494340897326,False
2.0740740740740735,510.6612123699369,499.0791947305821,501.6552174099653,False
2.2037037037037033,496.0145876518342,502.3218605252096,490.4443711632515,False
2.333333333333333,481.7573950155702,495.543868483507,483.2889199045531,False
2.462962962962963,469.48222987933696,471.07229785200764,478.8936121872261,False
2.5925925925925926,462.5640490484168,437.6882680490902,476.2940179996099,False
2.7222222222222214,463.0255156061337,467.8599244299112,474.81299689501003,False
2.851851851851851,469.1879423671163,485.0290799532607,473.9999714772693,False
2.981481481481481,476.46145167379973,465.967573823881,473.56978195454894,False
3.1111111111111107,480.613470573858,482.1297179982479,473.35033170058733,False
3.2407407407407405,481.0393979973532,492.8331883120078,473.2423808788083,False
3.3703703703703702,481.7335244440286,462.3088960238898,473.19116432517154,False
3.5,488.95361658429766,497.79475924137114,473.16772419054536,False
