method,hinge_lambda,target_frac_saturated,actual_frac_saturated,Tmax,objective,success,field_rel_l2,peak_abs_error,peak_rel_error,sat_region_rel_l2,unsat_region_rel_l2,T0_hat,T0_true,T0_rel_error,A_hat,A_true,A_rel_error,xc_hat,xc_true,xc_rel_error,yc_hat,yc_true,yc_rel_error,sx_hat,sx_true,sx_rel_error,sy_hat,sy_true,sy_rel_error
exact,,0.1,0.1,665.9253085659383,0.0003174947069716342,True,0.22555931050874112,836.3093727341226,0.531965513397231,0.3901797823681443,0.026187724744595752,467.86753409984834,473.15,0.01116446348970017,268.0465937651774,1100.0,0.7563212783952932,0.400654220160512,0.4,0.0016355504012799393,-0.20014650564701322,-0.2,0.00073252823506606,1.9089635070916935,1.25,0.5271708056733548,0.6882511831128961,0.45,0.5294470735842136
discard,,0.1,0.1,665.9253085659383,7.068173679132441e-06,True,0.08190805355978335,325.31108184236496,0.20692614755747724,0.14211831147829587,0.005463399701436096,472.2855127255503,473.15,0.0018270892411490786,775.1012342637491,1100.0,0.2953625143056826,0.39932862133326524,0.4,0.0016784466668369469,-0.19923937368603561,-0.2,0.0038031315698219825,1.3541551310728304,1.25,0.08332410485826429,0.487847354361678,0.45,0.08410523191483991
censored,,0.1,0.1,665.9253085659383,0.0686529544990267,True,0.07817173027914501,326.44087162685855,0.20764479214324127,0.13510289632865005,0.009928703592323654,471.2943043842834,473.15,0.00392200278075995,775.1012342637491,1100.0,0.2953625143056826,0.40210450004689247,0.4,0.005261250117231109,-0.2027910875720439,-0.2,0.01395543786021941,1.397533214356378,1.25,0.11802657148510232,0.5019668890033081,0.45,0.11548197556290687
hinge,0.001,0.1,0.1,665.9253085659383,1.4247387308421482e-05,True,0.10819342447989032,425.1099331879425,0.27040689872847024,0.18768293191653576,0.007750879711331148,471.93624709114056,473.15,0.0025652602955921365,675.5412930292015,1100.0,0.385871551791635,0.39902725811554224,0.4,0.00243185471114446,-0.1993554862022164,-0.2,0.003222568988918012,1.400450161103822,1.25,0.12036012888305762,0.504715135357923,0.45,0.12158918968427332
hinge,0.01,0.1,0.1,665.9253085659383,7.135615683974454e-06,True,0.08186377099793511,325.3269700257797,0.20693625382427602,0.1420412299138138,0.005463627601398988,472.27745645600885,473.15,0.0018441161238320364,775.1012342637491,1100.0,0.2953625143056826,0.3995013545618377,0.4,0.00124661359540576,-0.19939277856466542,-0.2,0.003036107176672964,1.354274807240805,1.25,0.08341984579264405,0.488096530158002,0.45,0.08465895590667102
hinge,0.1,0.1,0.1,665.9253085659383,7.698059061201803e-06,True,0.08165074364870664,325.40714427677926,0.20698725162244105,0.1416689942804985,0.005482949376781268,472.22513659427676,473.15,0.0019546938723939877,775.1012342637491,1100.0,0.2953625143056826,0.4000946722884007,0.4,0.0002366807210016364,-0.1999662527705803,-0.2,0.00016873614709853046,1.356673987635827,1.25,0.08533919010866153,0.488688544603544,0.45,0.08597454356343108
hinge,1.0,0.1,0.1,665.9253085659383,1.1126665005290694e-05,True,0.08065567685647947,325.7239627116028,0.20718877570770106,0.1398954121707356,0.005988173058085077,471.9947731578473,473.15,0.0024415657659361133,775.1012342637491,1100.0,0.2953625143056826,0.40155043996031836,0.4,0.0038760999007958485,-0.20186397862571945,-0.2,0.009319893128597184,1.3669551463852312,1.25,0.09356411710818495,0.4920685946405674,0.45,0.09348576586792753
hinge,10.0,0.1,0.1,665.9253085659383,1.8339172385607255e-05,True,0.07906295955156302,326.1303694229359,0.20744728573029667,0.13690579738107372,0.00807896844089409,471.57993329121877,473.15,0.003318327610231876,775.1012342637491,1100.0,0.2953625143056826,0.4033411424628392,0.4,0.008352856157097938,-0.20117039985675472,-0.2,0.005851999283773557,1.3863543441153081,1.25,0.10908347529224649,0.4977314750827772,0.45,0.10606994462839377
hinge,100.0,0.1,0.1,665.9253085659383,2.3264127176604804e-05,True,0.07827955230261686,326.32657799382196,0.20757209144998276,0.1353335887355558,0.009638926635849957,471.35295602965607,473.15,0.0037980428412636735,775.1012342637491,1100.0,0.2953625143056826,0.4038045350132972,0.4,0.009511337533242986,-0.20025838344661906,-0.2,0.001291917233095241,1.3955502385647551,1.25,0.1164401908518041,0.5014900266939748,0.45,0.11442228154216619
hinge,1000.0,0.1,0.1,665.9253085659383,2.4709769701981246e-05,True,0.07805498708450691,326.4006895052828,0.2076192328183905,0.13486257445862335,0.010170309272890105,471.28046910336406,473.15,0.003951243573149999,775.1012342637491,1100.0,0.2953625143056826,0.4040024925765701,0.4,0.010006231441425234,-0.20029998757306336,-0.2,0.0014999378653167417,1.4001180025398372,1.25,0.12009440203186976,0.5020522088133191,0.45,0.11567157514070917
